استان,نام استان,شهرستان,نام شهرستان
24,اردبيل,01,اردبيل
24,اردبيل,11,اصلاندوز
24,اردبيل,02,بيله سوار
24,اردبيل,06,پارس آباد
24,اردبيل,03,خلخال
24,اردبيل,10,سرعين
24,اردبيل,07,كوثر
24,اردبيل,05,گرمي
24,اردبيل,04,مشگين شهر
24,اردبيل,08,نمين
24,اردبيل,09,نير
10,اصفهان,01,اردستان
10,اصفهان,02,اصفهان
10,اصفهان,18,آران وبيدگل
10,اصفهان,22,برخوار
10,اصفهان,24,بو يين و مياندشت
10,اصفهان,19,تيران وکرون
10,اصفهان,20,چادگان
10,اصفهان,03,خميني شهر
10,اصفهان,04,خوانسار
10,اصفهان,23,خور و بيابانک
10,اصفهان,21,دهاقان
10,اصفهان,05,سميرم
10,اصفهان,16,شاهين شهروميمه
10,اصفهان,09,شهرضا
10,اصفهان,06,فريدن
10,اصفهان,07,فريدونشهر
10,اصفهان,08,فلاورجان
10,اصفهان,10,کاشان
10,اصفهان,11,گلپايگان
10,اصفهان,12,لنجان
10,اصفهان,17,مبارکه
10,اصفهان,13,نايين
10,اصفهان,14,نجف آباد
10,اصفهان,15,نطنز
30,البرز,05,اشتهارد
30,البرز,02,ساوجبلاغ
30,البرز,04,طالقان
30,البرز,06,فرديس
30,البرز,01,کرج
30,البرز,03,نظرآباد
16,ايلام,01,ايلام
16,ايلام,07,ايوان
16,ايلام,06,آبدانان
16,ايلام,10,بدره
16,ايلام,04,چرداول
16,ايلام,02,دره شهر
16,ايلام,03,دهلران
16,ايلام,09,سيروان
16,ايلام,08,ملكشاهي
16,ايلام,05,مهران
16,ايلام,11,هلیلان
03,آذربايجان شرقي,22,اسکو
03,آذربايجان شرقي,02,اهر
03,آذربايجان شرقي,21,آذرشهر
03,آذربايجان شرقي,13,بستان آباد
03,آذربايجان شرقي,12,بناب
03,آذربايجان شرقي,03,تبريز
03,آذربايجان شرقي,19,جلفا
03,آذربايجان شرقي,23,چاراويماق
03,آذربايجان شرقي,26,خداآفرين
03,آذربايجان شرقي,05,سراب
03,آذربايجان شرقي,14,شبستر
03,آذربايجان شرقي,25,عجب شير
03,آذربايجان شرقي,15,کليبر
03,آذربايجان شرقي,06,مراغه
03,آذربايجان شرقي,07,مرند
03,آذربايجان شرقي,20,ملکان
03,آذربايجان شرقي,10,ميانه
03,آذربايجان شرقي,16,هريس
03,آذربايجان شرقي,11,هشترود
03,آذربايجان شرقي,27,هوراند
03,آذربايجان شرقي,24,ورزقان
04,آذربايجان غربي,01,اروميه
04,آذربايجان غربي,13,اشنويه
04,آذربايجان غربي,10,بوكان
04,آذربايجان غربي,15,پلدشت
04,آذربايجان غربي,02,پيرانشهر
04,آذربايجان غربي,12,تكاب
04,آذربايجان غربي,14,چالدران
04,آذربايجان غربي,16,چايپاره
04,آذربايجان غربي,03,خوئ
04,آذربايجان غربي,04,سردشت
04,آذربايجان غربي,05,سلماس
04,آذربايجان غربي,11,شاهين دژ
04,آذربايجان غربي,17,شوط
04,آذربايجان غربي,06,ماكو
04,آذربايجان غربي,07,مهاباد
04,آذربايجان غربي,08,مياندوآب
04,آذربايجان غربي,09,نقده
18,بوشهر,01,بوشهر
18,بوشهر,02,تنگستان
18,بوشهر,09,جم
18,بوشهر,03,دشتستان
18,بوشهر,04,دشتي
18,بوشهر,05,دير
18,بوشهر,08,ديلم
18,بوشهر,10,عسلويه
18,بوشهر,06,كنگان
18,بوشهر,07,گناوه
23,تهران,10,اسلامشهر
23,تهران,19,بهارستان
23,تهران,13,پاكدشت
23,تهران,20,پرديس
23,تهران,18,پيشوا
23,تهران,01,تهران
23,تهران,02,دماوند
23,تهران,12,رباط کريم
23,تهران,03,رئ
23,تهران,04,شميرانات
23,تهران,09,شهريار
23,تهران,14,فيروزكوه
23,تهران,16,قدس
23,تهران,21,قرچک
23,تهران,17,ملارد
23,تهران,06,ورامين
14,چهارمحال وبختياري,05,اردل
14,چهارمحال وبختياري,01,بروجن
14,چهارمحال وبختياري,09,بن
14,چهارمحال وبختياري,10,خانميرزا
14,چهارمحال وبختياري,08,سامان
14,چهارمحال وبختياري,02,شهرکرد
14,چهارمحال وبختياري,03,فارسان
14,چهارمحال وبختياري,06,کوهرنگ
14,چهارمحال وبختياري,07,کيار
14,چهارمحال وبختياري,04,لردگان
29,خراسان جنوبي,08,بشرويه
29,خراسان جنوبي,01,بيرجند
29,خراسان جنوبي,10,خوسف
29,خراسان جنوبي,02,درميان
29,خراسان جنوبي,09,زيرکوه
29,خراسان جنوبي,06,سرايان
29,خراسان جنوبي,03,سربيشه
29,خراسان جنوبي,11,طبس
29,خراسان جنوبي,07,فردوس
29,خراسان جنوبي,04,قائنات
29,خراسان جنوبي,05,نهبندان
09,خراسان رضوئ,37,باخرز
09,خراسان رضوئ,31,بجستان
09,خراسان رضوئ,23,بردسكن
09,خراسان رضوئ,32,بينالود
09,خراسان رضوئ,04,تايباد
09,خراسان رضوئ,06,تربت جام
09,خراسان رضوئ,05,تربت حيدريه
09,خراسان رضوئ,34,جغتاي
09,خراسان رضوئ,36,جوين
09,خراسان رضوئ,18,چناران
09,خراسان رضوئ,29,خليل آباد
09,خراسان رضوئ,19,خواف
09,خراسان رضوئ,38,خوشاب
09,خراسان رضوئ,39,داورزن
09,خراسان رضوئ,07,درگز
09,خراسان رضوئ,27,رشتخوار
09,خراسان رضوئ,35,زاوه
09,خراسان رضوئ,08,سبزوار
09,خراسان رضوئ,20,سرخس
09,خراسان رضوئ,40,صالح آباد
09,خراسان رضوئ,22,فريمان
09,خراسان رضوئ,33,فيروزه
09,خراسان رضوئ,13,قوچان
09,خراسان رضوئ,14,كاشمر
09,خراسان رضوئ,28,كلات
09,خراسان رضوئ,41,کوهسرخ
09,خراسان رضوئ,15,گناباد
09,خراسان رضوئ,16,مشهد
09,خراسان رضوئ,30,مه ولات
09,خراسان رضوئ,17,نيشابور
28,خراسان شمالي,01,اسفراين
28,خراسان شمالي,02,بجنورد
28,خراسان شمالي,03,جاجرم
28,خراسان شمالي,08,راز و جرگلان
28,خراسان شمالي,04,شيروان
28,خراسان شمالي,05,فاروج
28,خراسان شمالي,07,گرمه
28,خراسان شمالي,06,مانه وسملقان
06,خوزستان,16,اميديه
06,خوزستان,21,انديکا
06,خوزستان,02,انديمشک
06,خوزستان,03,اهواز
06,خوزستان,04,ايذه
06,خوزستان,01,آبادان
06,خوزستان,26,آغاجاري
06,خوزستان,15,باغ ملک
06,خوزستان,24,باوي
06,خوزستان,05,بندرماهشهر
06,خوزستان,06,بهبهان
06,خوزستان,25,حميديه
06,خوزستان,07,خرمشهر
06,خوزستان,08,دزفول
06,خوزستان,09,دشت آزادگان
06,خوزستان,19,رامشير
06,خوزستان,10,رامهرمز
06,خوزستان,11,شادگان
06,خوزستان,14,شوش
06,خوزستان,12,شوشتر
06,خوزستان,27,کارون
06,خوزستان,20,گتوند
06,خوزستان,17,لالي
06,خوزستان,13,مسجدسليمان
06,خوزستان,22,هفتکل
06,خوزستان,18,هنديجان
06,خوزستان,23,هويزه
19,زنجان,01,ابهر
19,زنجان,06,ايجرود
19,زنجان,03,خدابنده
19,زنجان,07,خرمدره
19,زنجان,04,زنجان
19,زنجان,10,سلطانيه
19,زنجان,08,طارم
19,زنجان,09,ماهنشان
20,سمنان,06,آرادان
20,سمنان,01,دامغان
20,سمنان,08,سرخه
20,سمنان,02,سمنان
20,سمنان,03,شاهرود
20,سمنان,04,گرمسار
20,سمنان,05,مهدئ شهر
20,سمنان,07,ميامي
11,سيستان وبلوچستان,01,ايرانشهر
11,سيستان وبلوچستان,20,بمپور
11,سيستان وبلوچستان,21,تفتان
11,سيستان وبلوچستان,02,چاه بهار
11,سيستان وبلوچستان,03,خاش
11,سيستان وبلوچستان,22,دشتیاری
11,سيستان وبلوچستان,12,دلگان
11,سيستان وبلوچستان,08,راسک
11,سيستان وبلوچستان,04,زابل
11,سيستان وبلوچستان,05,زاهدان
11,سيستان وبلوچستان,10,زهک
11,سيستان وبلوچستان,06,سراوان
11,سيستان وبلوچستان,23,سرباز
11,سيستان وبلوچستان,14,سيب و سوران
11,سيستان وبلوچستان,19,فنوج
11,سيستان وبلوچستان,18,قصرقند
11,سيستان وبلوچستان,09,کنارک
11,سيستان وبلوچستان,13,مهرستان
