استان,نام استان,شهرستان,نام شهرستان,بخش,نام بخش
24,اردبيل,01,اردبيل,01,مركزئ
24,اردبيل,01,اردبيل,04,هير
24,اردبيل,01,اردبيل,06,ثمرين
24,اردبيل,11,اصلاندوز,01,مرکزي
24,اردبيل,11,اصلاندوز,02,بران
24,اردبيل,02,بيله سوار,01,مركزئ
24,اردبيل,02,بيله سوار,02,قشلاق دشت
24,اردبيل,06,پارس آباد,01,مركزئ
24,اردبيل,06,پارس آباد,03,تازه كند
24,اردبيل,06,پارس آباد,04,اسلام آباد
24,اردبيل,03,خلخال,01,خورش رستم
24,اردبيل,03,خلخال,03,شاهرود
24,اردبيل,03,خلخال,04,مركزئ
24,اردبيل,10,سرعين,01,مركزي
24,اردبيل,10,سرعين,02,سبلان
24,اردبيل,07,كوثر,01,مركزئ
24,اردبيل,07,كوثر,02,فيروز
24,اردبيل,05,گرمي,01,انگوت
24,اردبيل,05,گرمي,04,مركزئ
24,اردبيل,05,گرمي,05,موران
24,اردبيل,04,مشگين شهر,01,ارشق
24,اردبيل,04,مشگين شهر,02,مركزئ
24,اردبيل,04,مشگين شهر,03,مشكين شرقي
24,اردبيل,04,مشگين شهر,04,مرادلو
24,اردبيل,04,مشگين شهر,05,قصابه
24,اردبيل,08,نمين,01,ويلكيج
24,اردبيل,08,نمين,02,مركزئ
24,اردبيل,08,نمين,03,عنبران
24,اردبيل,09,نير,01,مركزئ
24,اردبيل,09,نير,02,كوراييم
10,اصفهان,01,اردستان,01,مرکزي
10,اصفهان,01,اردستان,02,زواره
10,اصفهان,01,اردستان,03,مهاباد
10,اصفهان,02,اصفهان,01,جرقويه سفلي
10,اصفهان,02,اصفهان,02,کوهپايه
10,اصفهان,02,اصفهان,03,مرکزي
10,اصفهان,02,اصفهان,04,جرقويه عليا
10,اصفهان,02,اصفهان,05,بن رود
10,اصفهان,02,اصفهان,06,جلگه
10,اصفهان,18,آران وبيدگل,01,کويرات
10,اصفهان,18,آران وبيدگل,02,مرکزي
10,اصفهان,22,برخوار,01,حبيب آباد
10,اصفهان,22,برخوار,02,مرکزي
10,اصفهان,24,بو يين و مياندشت,01,مرکزي
10,اصفهان,24,بو يين و مياندشت,02,کرچمبو
10,اصفهان,19,تيران وکرون,01,کرون
10,اصفهان,19,تيران وکرون,02,مرکزي
10,اصفهان,20,چادگان,01,چنارود
10,اصفهان,20,چادگان,02,مرکزي
10,اصفهان,03,خميني شهر,01,مرکزي
10,اصفهان,04,خوانسار,01,مرکزي
10,اصفهان,23,خور و بيابانک,01,مرکزي
10,اصفهان,21,دهاقان,01,مرکزي
10,اصفهان,05,سميرم,01,پادنا
10,اصفهان,05,سميرم,02,مرکزي
10,اصفهان,05,سميرم,03,پادنا عليا
10,اصفهان,05,سميرم,04,وردشت
10,اصفهان,16,شاهين شهروميمه,02,ميمه
10,اصفهان,16,شاهين شهروميمه,03,مرکزي
10,اصفهان,09,شهرضا,02,مرکزي
10,اصفهان,06,فريدن,03,مرکزي
10,اصفهان,06,فريدن,04,زنده رود
10,اصفهان,07,فريدونشهر,01,مرکزي
10,اصفهان,08,فلاورجان,01,پيربکران
10,اصفهان,08,فلاورجان,02,مرکزي
10,اصفهان,08,فلاورجان,03,قهدريجان
10,اصفهان,10,کاشان,02,قمصر
10,اصفهان,10,کاشان,03,مرکزي
10,اصفهان,10,کاشان,04,نياسر
10,اصفهان,10,کاشان,05,برزک
10,اصفهان,11,گلپايگان,01,مرکزي
